scorer,,,rats,rats,rats,rats,rats,rats,rats,rats,rats,rats,rats,rats,rats,rats,rats,rats,rats,rats,rats,rats,rats,rats,rats,rats,rats,rats,rats,rats,rats,rats,rats,rats,rats,rats,rats,rats,rats,rats
bodyparts,,,head,head,nose,nose,spine1,spine1,spine2,spine2,spine3,spine3,tailbase,tailbase,tail1,tail1,tail2,tail2,tail_tip,tail_tip,L_hip,L_hip,L_backpaw,L_backpaw,R_backpaw,R_backpaw,L_shoulder,L_shoulder,R_frontpaw,R_frontpaw,R_shoulder,R_shoulder,R_hip,R_hip,R_knee,R_knee,L_knee,L_knee,L_frontpaw,L_frontpaw
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,2025-03-18 14-08-10,img00067.png,839.918484486578,659.9062072957659,,,961.9740904870649,593.9302040522596,1105.4718975416913,565.8904026737694,1258.8661050828437,636.8146061605387,,,1369.375910515717,778.6630131340776,1328.1409084885254,696.1930090796945,,,1206.0853024880385,808.3522145936554,836.6196843244028,902.3680192156519,1092.27669689299,895.7704188913015,915.7908882166104,841.3402162154086,,,,,,,,,,,,
labeled-data,2025-03-18 14-08-10,img00129.png,566.1180710260264,671.4520078633795,,,681.5760767021627,603.8266045387854,882.8028865948571,584.0338035657335,1059.288695271237,638.4640062416263,1199.487702163688,752.272611836675,1354.531309785928,633.5158059983635,1143.4080994067076,631.8664059172756,,,,,,,,,605.7036729721303,851.2366167019345,,,,,,,,,,,592.508472323429,941.9536211617558
labeled-data,2025-03-18 14-08-10,img00142.png,,,595.8072724856044,588.9820038089965,714.5640783239159,621.9700054307498,803.6316827026495,711.0376098094835,879.5040864326819,783.6112133773404,978.4680912979414,823.1968153234443,1214.332302893477,808.3522145936554,1389.168711488769,740.7268112690613,1331.439708650701,669.802607782292,,,,,,,,,,,,,,,,,,,,
labeled-data,2025-03-18 14-08-10,img00372.png,864.659485702893,628.5676057551004,,,744.2532797834938,565.8904026737694,582.612071836903,552.695202025068,430.8672643768383,673.1014079444672,439.11426478227656,920.5114201076162,658.4844755669354,950.200621567194,,,,,,,,,605.7036729721303,927.1090204319669,,,859.71128545963,884.2246183236878,836.6196843244028,798.4558141071293,612.3012732964809,772.0654128097269,526.5324690799226,895.7704188913012,,,,
labeled-data,2025-03-18 14-08-10,img00515.png,,,,,1318.2445080019997,498.2649993491753,1211.0335027313017,598.8784042955226,1164.850300460847,704.4400094851328,1072.4838959199383,755.5714119988502,826.7232838378767,676.4002081066426,798.6834824593865,925.4596203508793,,,,,,,1366.0771103535417,861.1330171884606,,,,,,,1375.9735108400678,724.2328104581848,1311.6469076776489,844.6390163775839,,,,
labeled-data,2025-03-18 14-08-10,img00698.png,1011.4560929196947,579.0856033224707,998.2608922709934,810.001614674743,1070.8344958388507,521.3566004844024,1143.4080994067076,485.069798700474,,,,,,,,,,,1267.1131054882821,725.8822105392724,1268.7625055693698,879.2764180804247,,,1164.850300460847,750.6232117555874,,,,,,,,,1258.8661050828437,839.690816134321,,
labeled-data,2025-03-18 14-08-10,img00886.png,,,,,1232.475703785441,485.069798700474,1290.2047066235095,580.7350034035583,1311.6469076776489,696.1930090796945,1268.7625055693698,818.2486150801815,1001.5596924331688,768.7666126475515,889.4004869192078,904.0174192967397,,,1112.0694978660422,598.8784042955226,1145.149673398389,763.5069570912117,,,,,,,,,,,,,1190.64018381688,772.8726504126657,,
labeled-data,2025-03-18 14-08-10,img00926.png,1273.5934675211868,584.2208277948064,1360.5606197918312,744.7755704483036,1225.4270447251376,529.3646240548615,1178.5985781178676,474.5084203149166,,,,,,,,,,,,,,,1080.92777633699,732.7339647492914,,,1224.0890885363585,779.5624313565614,1166.5569724188554,714.0025781063833,1052.830696372628,629.7113382132973,1106.3489439237937,700.6230162185919,,,,
labeled-data,2025-03-18 14-08-10,img01118.png,1058.1825211277446,660.4843305552176,945.7942012702964,833.0806789077272,1149.1635419647264,620.3456448918432,1229.440913291475,562.81352877434,1332.4635398274693,542.7441859426528,,,,,,,,,1303.028503674328,756.817176147316,1265.5657303885118,839.770459851623,,,1153.1774105310637,815.6872484535984,,,,,,,,,,,1076.9139077706525,870.5434521935433
labeled-data,2025-03-18 14-08-10,img01200.png,1075.5759515818734,582.8828716060273,1008.6781421429162,831.7427227189481,1150.5014981535055,519.9989307334074,1216.0613514036836,481.1982012588123,,,,,,,,,,,1324.4358026947943,735.4098771268497,1268.2416427660703,838.4325036628438,,,1153.1774105310637,779.5624313565614,,,,,,,1289.6489417865366,800.9697303770278,,,,
